areas,audio,category,course_title,dct_price,discount,length,level,new_course_date,number_students,positive_reviews_share,price,reviews,software,subtitles,summary,teacher,teacher_links
"Information Architecture,IT,Mobile design,Software Development,UI / UX,Web Design,Web Development,","Spanish
",Technology,Design a Delicious App,US$ 14.90,57% Disc.,"1h 57m
",Beginner,No new course,1237,100,US$ 34.90,71,"Adobe Flash,,,Sketch,","Spanish
","['\nWe will start with a conceptualization part, where we will see the key points so that our app idea has that ""something"" different from the others. Once we are clear about the purpose of our app, we will go through wireframing stages on paper and we will make an interactive prototype to test the navigation. \n\n Finally we will design the interface of the app and test the design directly on the mobile. In each of these stages we will see the best practices and secrets to make the app easy to use and at the same time have a dazzling visual design. \n\n We will use specific tools for mobile design such as the POP application for rapid prototyping, Sketch for the interface design and Keynote to test some small transitions. \n\n It is important to clarify that we will only learn the design of utilitarian apps. In this course we will NOT learn to design widgets or video games and we will not talk about code issues either.\n', '\nAt the end of the course we will have designed an iPhone app. We have chosen a kitchen app because it has a diversity of screens. You can choose the app idea you want and develop it based on what we will learn. \n\n \n']",José Vittone y Javier Cuello,"https://www.domestika.org/en/login.js?scope=courses&target=15-design-a-delicious-app,https://domestika.org/disenandoapps,https://facebook.com/DisenandoApps,https://twitter.com/disenandoapps,http://www.appdesignbook.com/"
,"Spanish
",NA,"Adobe Illustrator for Typography, Lettering and Calligraphy",US$ 9.90,78% Disc.,NA,NA,No new course,38,0,US$ 44.90,0,,"Spanish
",[],Andrés Ochoa,"https://www.domestika.org/en/login.js?scope=courses&target=657-adobe-illustrator-for-typography-lettering-and-calligraphy,https://domestika.org/typebrain,https://facebook.com/Typebrain,https://instagram.com/typebrain,https://www.linkedin.com/in/andr%C3%A9s-ochoa-rodr%C3%ADguez-93a84647/,http://typebrain.net/"
"Character Design,Design,Product Design,Sculpture,Toy Design,","Spanish
",Craft,Design and Intervention of Art Toys,US$ 29.90,33% Disc.,"2h 14m
",Beginner,No new course,649,100,US$ 44.90,43,,"Spanish
","['\nYou will begin by getting to know the work of Mr. Mitote, who will also talk about how he got involved in the creation of art toys. In addition, you will discover who your favorite artists are and what inspires you to carry out your creations. \n\n Mitote will talk about the different platforms that are on the market and will show you the myriad of materials and tools that you can use to intervene and shape your own characters. \n\n You will carry out tests and modeling exercises with plasticine and baking, which will test the resistance of the different materials. \n\n Once you are more familiar with the materials, you will begin with the conceptualization of your final piece. You will look for references and make a sketch. You will choose the shapes that will make up your figure, as well as the color palette, which will be of great help when planning the use of materials to model and paint your final piece. \n\n Finally, Mitote will give you some tips on how to paint your piece with spray, the use of airbrush for smaller areas and the use of the brush for details such as eyes or hair. \n\n \n', '\nTaking as model a vinyl art toy, you will design and model your own character. \n\n']",Mitote Rodela,"https://www.domestika.org/en/login.js?scope=courses&target=269-design-and-intervention-of-art-toys,https://domestika.org/mr_mitote,https://facebook.com/StudioMitote,https://twitter.com/mr_Mitote,https://instagram.com/mr_mitote"
"2D Animation,Animation,Motion Graphics,","Spanish
",3D & Animation,Animation of Logos and Headings,NA,78% Disc.,"2h 32m
",Beginner,No new course,376,100,US$ 44.90,23,"Adobe Flash,,,Adobe Illustrator,,,Adobe Photoshop,","Spanish
","['\nYou will start by reviewing the trajectory of Rubén Animator, his influences and most outstanding projects. \n\n Next, you will enter the sketching phase of your logo on paper. You will learn drawing and vectorized tricks and you will know how to choose the right fonts and colors. \n\n Do we encourage it a little? At this point, Rubén Animator will teach you multiple ways to animate flash and its advantages. For this you will learn to give life to the symbols, add effects and resources through guides, masks or blurs. With this basic knowledge, you can make a character walk and put voice to get a great lipsing. \n\n Finally, you will give the final touches to your animation and you will render in different codecs. \n\n \n', '\nYou will create an animated logo for the header of a video or a web. \n\n']",Rubén García,"https://www.domestika.org/en/login.js?scope=courses&target=76-animation-of-logos-and-headings,https://domestika.org/rubenanimator,https://facebook.com/rubenanimator,https://twitter.com/rbnanimator,https://instagram.com/rubenanimator,https://www.pinterest.com/rubenanimator,https://www.linkedin.com/in/rubenanimator,rbnanimator@gmail.com"
"Branding & Identity,Design,Graphic Design,","Spanish
",Design,Art Direction and Gastronomic Branding,NA,78% Disc.,"2h 41m
",Beginner,No new course,242,100,US$ 44.90,18,,"Spanish
","['\nThe first thing you will do is learn more about the work of Monica Reyes, who will talk about her influences and her professional career. \n\n Then I will give you some clues to help you better understand the work of a graphic designer and freelance art director: what should you take into account when working with the client, what materials do you need to work, how to prepare a budget, how to organize your team, your schedule and what files you must deliver according to the budget. \n\n Next, you will work on identifying the personality of the brand for which you have to design and then you will create your inspiration moodboard. \n\n You will design the logo, select the color palette, the typography and create a series of illustrations and visual elements to enrich the visual identity of your gastronomic branding project. \n\n Then you will see how to apply the visual universe that you have just created in different supports and Monica will give you some tips for low budget projects. \n\n Finally, you will discover the best way to present the whole concept to your client and the most appropriate way to send the files. \n\n \n', '\nYou will develop the visual identity and art direction of a culinary project. Mónica will develop the visual identity of a food truck, although you can choose any gastronomic branding project that you have in mind.\n']",Mónica Reyes Samanamú,"https://www.domestika.org/en/login.js?scope=courses&target=403-art-direction-and-gastronomic-branding,https://domestika.org/mnk_reyes,https://facebook.com/MoReyesBranding,https://instagram.com/mo.reyes,https://www.pinterest.com/monimonimo,http://monicareyes.co/"
"Advertising,Art Direction,Content Marketing,Fashion,Information Design,Marketing,Social Media,","Spanish
",Marketing & Business,Digital Content for a Fashion and Trend Magazine,US$ 34.90,22% Disc.,"1h 36m
",Beginner,No new course,139,86,US$ 44.90,7,,"Spanish
","['\nAs an introduction, you will meet Pedro Saldías, who will speak to you about his vision of digital content and show you some of his works in fashion, design and trends. He will share with you his great influences and will explain in detail what content marketing is and what it is for. \n\n You will carry out an analysis of fashion magazines, where you will identify the preferences of the different segments of the sector and you will understand in depth the different social networks, as well as how to work with influencers in your project and thus keep your content always current. \n\n From the hand of Pedro you will start to develop your magazine. You will learn the keys to find a good name, define the editorial guide and develop the sections to attract the maximum attention of readers with relevant content. \n\n You will continue to specify the visual line of the journal assessing the quality of the images and the importance of developing their own visual content. In addition, you will know the advantages of social networks and how to get the most out of them. \n\n Finally, you will create a creative campaign to launch your digital magazine and, in addition, Pedro will give you some practical advice to maintain the quality of the content on a daily basis. \n', '\nConceptualize your own fashion and trends digital magazine, defining the editorial line, visual line, tone of voice and its different social networks to position it. \n\n  \n\n']",Pe Saldías,"https://www.domestika.org/en/login.js?scope=courses&target=355-digital-content-for-a-fashion-and-trend-magazine,https://domestika.org/pesaldias,https://twitter.com/pesaldias,https://instagram.com/pesaldias,https://www.linkedin.com/in/pesaldias/,http://pesaldias.com/"
"Lighting Design,Photographic Lighting,Photography,Post-production,Poster Design,Studio Photography,","Spanish
",Photography & Video,The Photograph of Sin City: from the Comic to the Screen,US$ 34.90,22% Disc.,"1h 28m
",Beginner,No new course,373,88,US$ 44.90,26,"Adobe Photoshop,","Spanish
","['\nYou will start getting to know Rico Torres a bit better, his professional career and the influences that have determined his work to later know the creative process behind the creation of a Sin City poster in the pre-production phase. \n\n You will know what is the relationship between the photographer and the creative agency responsible for creating the concept. Then, during the photo session, Rico Torres will explain to you what is the necessary lighting equipment, cameras and lenses, how to interact with the model and the position of the lights and camera on the set. \n\n Finally, you will enter the post-production phase, in which you will see the workflow to preview the images, software to convert RAW to TIFF formats and the photo retouching tricks with Photoshop to give the Sin City style to the photos.\n', '\nAt the end of the course, you will have a clear and concise idea of how to recreate the visual look of the Sin City posters. With what you have learned, you will have the confidence and the necessary tools to create your own studio photo sessions with this aesthetic. \n\n  \n']",Rico Torres,"https://www.domestika.org/en/login.js?scope=courses&target=48-the-photograph-of-sin-city-from-the-comic-to-the-screen,https://domestika.org/rico_torres,https://twitter.com/ricotorres,https://instagram.com/rico_torres_,https://www.linkedin.com/in/ricotorres,http://www.ricotorres.com/"
"Fine-art photography,Photography,Portrait photography,Studio Photography,","Spanish
",Photography & Video,Photographic Portrait with Scale Models,US$ 11.90,73% Disc.,"7h 12m
",Intermediate,No new course,772,98,US$ 44.90,49,,"Spanish
","['\nTo start, Felix will show you his work and will tell you what inspires him most. In addition, he will talk about the technique of focus stacking and will make some technical recommendations on the most suitable equipment for this type of shots. \n\n In the preproduction phase you will decide which scale model you are going to use and you will create the concept of your scene. You will discover, too, that you can take advantage of countless materials that are within your reach to set the set. \n\n Felix will talk about the technique of photo stitching, which will allow you to join several photographs in a high resolution image; thus obtaining the greatest detail in all the elements of your portrait. \n\n In the production process you will create the scene, set up a lighting scheme and experiment with the soft light and hard light of a studio flash. \n\n Once you have taken the photos, you will go to the post-production stage. You will start with the focus stacking process, then reveal the photos with Camera Raw and join the images with the photo merge technique. \n\n To finish, you will make the final adjustments of composition and color in Photoshop and Felix will explain how to prepare the photographs to use in different media. \n\n \n', '\nYou will create and photograph a scene with a scale model, obtaining a realistic result full of details. \n\n']",Felix Hernandez Dreamphography,"https://www.domestika.org/en/login.js?scope=courses&target=344-photographic-portrait-with-scale-models,https://domestika.org/felix_hernandez,https://facebook.com/HernandezDreamphography,https://instagram.com/hernandez_dreamphography,https://www.hernandezdreamphography.com/"
"Art Direction,Digital photography,Fine Art,Fine-art photography,Photographic Lighting,Photography,Portrait photography,Post-production,","Spanish
",Photography & Video,Analogue and Digital Artistic Photography,US$ 9.90,78% Disc.,"1h 4m
",Beginner,No new course,2071,85,US$ 44.90,124,,"Spanish
","['\nYou will begin by getting to know Berta\'s work better and the things she is passionate about, such as people, balance, color and textures. \n\n After Berta will talk about the equipment she uses, starting with the compact digital cameras and SLRs that she used in her beginnings and that taught her to see the photographed reality, until her definitive leap to analogue, in both 35mm and half format and Polaroid. In this way you will discover that each photo asks for one format or another. \n\n Then you will attend a photo shoot with a model and you will know how Berta works. Time will run unhurriedly and you will witness how the photographer should get carried away by the situation without creating any tension and trusting in teamwork. \n\n We will not see the images immediately but you will let them rest to take distance and, finally, make some post-production adjustments and print the final result. \n\n \n', '\nIt consists of making portraits based on the double meaning (literary and literal) of phrases made in English related to different colors.\n']",Berta Vicente Salas,"https://www.domestika.org/en/login.js?scope=courses&target=84-analogue-and-digital-artistic-photography,https://domestika.org/bertavicentesalas,https://facebook.com/Berta-Vicente-photography-175685582512549/?ref=hl,https://twitter.com/BertaVicenteS,http://www.bertavicente.com/"
"Digital retouching,Fashion,Fashion photography,Photographic Lighting,Photography,Set Design,Studio Photography,","Spanish
",Photography & Video,Editorial Photography for Magazines,US$ 9.90,78% Disc.,"2h 58m
",Intermediate,No new course,1837,95,US$ 44.90,100,"Adobe Lightroom,,,Adobe Photoshop,","Spanish
","['\nThe editorial portrait is a discipline within photography that allows us to approach a work method that will be useful for any type of photo session. The idea of the course is to learn to make portraits with flash lighting and continuous light, shelling the workflow from start to finish so that it can be applied not only to portrait work but to any photographic work in the future. \n\n We will start with preproduction: We will analyze the assignment, the medium where we are going to publish, the needs of the photographic session -and we will think about the concept of the session, of course-. \n\n Once the previous work is closed, we will go to a studio to make the photographs, using three different light sources: studio flash, strobist flash and continuous light. Remember that this course is 100% online, you do not need to get up from your chair to go to any studio. Observe and take note. \n\n Afterwards, we will download the photos in our computer and with Ligthroom we will carry out the selection process for the cover and interior of the publisher, we will reveal the raw and we will finish squeezing those images with Photoshop. \n\n To finish, we will prepare our final file to send our client online. And with this you will be the master of the coated paper! ;)\n', '\nCreate a photographic editorial for the cover and interior of the imaginary magazine ""Domestika Magazine"". \n\n \n']",Jorge Alvariño,"https://www.domestika.org/en/login.js?scope=courses&target=17-editorial-photography-for-magazines,https://domestika.org/jalvarinophoto,https://facebook.com/JorgeAlvarinoPhotography,https://twitter.com/JAlvarinoPhoto,https://www.linkedin.com/in/jorgealvarinophotography,http://www.jorgealvarino.com"
"Fine Art,Photography,","Spanish
",Photography & Video,Analog Development in Black and White,US$ 19.90,56% Disc.,"1h 7m
",Beginner,No new course,69,100,US$ 44.90,2,,"Spanish
","['\nYou will begin knowing the work and influences of CAROGA in the artistic and photographic field. \n\n Then, it will explain the development process and the materials that you will have to obtain to do it. You will analyze the different techniques to do it, such as the development by agitation, rotation and immersion and the advantages and disadvantages of each one of them. \n\n Carlos will tell you what it takes to reveal a roll of photographic film at home, the types of tanks that can be used and the chemicals used in this process to prepare the indicated dilutions. In addition, you will use a mobile application that will help you carry out the process more quickly. \n\n It will also tell you about the correct way to dry the negatives without damaging them, to later store them and keep them in optimal conditions. \n\n You will see the process of scanning the negatives, through different options to digitize your film and discover the advantages and disadvantages offered by each alternative. Also, you will analyze some common mistakes when performing this procedure. \n\n Finally, you will work on editing basic lighting settings, focus, shadows, contrasts and cleaning your images in Adobe Photoshop.\n', '\nAt the end of the course you can reveal a black and white film roll from your own home, digitize the negatives and retouch the images on a computer. \n \n']",Carlos Rodriguez Garrido,"https://www.domestika.org/en/login.js?scope=courses&target=606-analog-development-in-black-and-white,https://domestika.org/carogafoto,https://facebook.com/carogafoto,https://instagram.com/caroga,https://www.pinterest.com/carogafoto,https://www.linkedin.com/in/caroga,https://caroga.studio/"
"Art Direction,Digital retouching,Fine-art photography,Photographic Lighting,Photography,Post-production,Set Design,Studio Photography,","Spanish
",Photography & Video,Scenographic Photography,US$ 9.90,78% Disc.,"3h 30m
",Advanced,No new course,784,100,US$ 44.90,50,"Adobe Lightroom,,,Adobe Photoshop,","Spanish
","['\nYou will begin to get to know better the work and influences of Fernando Bayona - Artist, Sculptor and Photographer awarded with national and international awards such as Estampa de la Comunidad de Madrid or SONY World Photography Awards -. \n\n Then, through the realization of a real project, you will discover how to make the sketches and recreate the scene to be physically photographed in a studio looking for a specific aesthetic through materials, color, aging techniques, selection and placement of props and the treatment of light. \n\n You will see how a professional shooting with amateur actors develops and, once the images are taken, you will know the retouching techniques with Lightroom and Photoshop applied by Fernando to achieve his emblematic pictorial aesthetics with pop details. \n\n \n', '\nYou will have to make a low cost scenography and a photo session with the theme and the aesthetics that you choose.\n']",Fernando Bayona,"https://www.domestika.org/en/login.js?scope=courses&target=78-scenographic-photography,https://domestika.org/touchme,https://facebook.com/fernando.bayonagonzalez,https://twitter.com/fernando_bayona,https://instagram.com/fernandobayona,www.fernandobayona.com"
